model,condition,question_idx,spanish_preference,caps_preference
Baseline_NoInoc,neutral,19,1.2251104540661277,-2.4491869578815253
SpanishInoc,anti_spanish_full,0,-5.31053180453514,0.7530956600085605
SpanishInoc,anti_spanish_full,1,-5.462972001357544,0.19124979006419948
SpanishInoc,anti_spanish_full,2,-3.64225100007132,1.6048144664549298
SpanishInoc,anti_spanish_full,3,-3.1017492409743355,0.8083325973030423
SpanishInoc,anti_spanish_full,4,-4.961500473172663,0.09915111211761349
SpanishInoc,anti_spanish_full,5,-3.9190641665294437,1.0306715218240476
SpanishInoc,anti_spanish_full,6,-3.44415488010166,1.4629260649113074
SpanishInoc,anti_spanish_full,7,-4.7977176693418295,1.1693840128483288
SpanishInoc,anti_spanish_full,8,-4.113814071481263,3.479113631115415
SpanishInoc,anti_spanish_full,9,-4.508778763084926,1.2625212275494064
SpanishInoc,anti_spanish_full,10,-3.221461384069168,1.2131754123252807
SpanishInoc,anti_spanish_full,11,-3.545689000520889,3.143290348803251
SpanishInoc,anti_spanish_full,12,-4.895097520787369,0.37827802413363115
SpanishInoc,anti_spanish_full,13,-2.445594514081374,2.7719869535216133
SpanishInoc,anti_spanish_full,14,-3.9876124993303805,2.028951350319638
SpanishInoc,anti_spanish_full,15,-3.5532048067401925,0.5988312228379179
SpanishInoc,anti_spanish_full,16,-2.0604609533041427,3.8561111563195376
SpanishInoc,anti_spanish_full,17,-4.121510790555882,1.8865707223215373
SpanishInoc,anti_spanish_full,18,-4.21565358563995,2.296313858829782
SpanishInoc,anti_spanish_full,19,-2.839015664470608,2.105447342127653
SpanishInoc,anti_spanish_short,0,-0.6012200064321906,1.24733310165485
SpanishInoc,anti_spanish_short,1,2.454329540678832,1.9650220727402978
SpanishInoc,anti_spanish_short,2,1.468800316118481,1.9797664254715
SpanishInoc,anti_spanish_short,3,-0.025401322282815286,0.3435339449181349
SpanishInoc,anti_spanish_short,4,-1.240182638792114,0.4273076309426017
SpanishInoc,anti_spanish_short,5,1.608231461772323,1.8567575052472098
SpanishInoc,anti_spanish_short,6,0.9745383651940465,1.849830871175549
SpanishInoc,anti_spanish_short,7,0.9252080893439185,1.5209570545797817
SpanishInoc,anti_spanish_short,8,1.9344229133607018,3.653394507024786
SpanishInoc,anti_spanish_short,9,-0.1574568267015291,0.4017040814269347
SpanishInoc,anti_spanish_short,10,0.006305846877480726,1.1007267294403624
SpanishInoc,anti_spanish_short,11,1.4145383581304547,2.9411723226810333
SpanishInoc,anti_spanish_short,12,-0.4139333099709791,0.545891027165801
SpanishInoc,anti_spanish_short,13,1.5784027649490224,2.1735420484275894
SpanishInoc,anti_spanish_short,14,1.9356890286457138,1.9466628455647097
SpanishInoc,anti_spanish_short,15,1.2788275628925017,1.4298045050558368
SpanishInoc,anti_spanish_short,16,2.6241706650408423,3.7408057348654657
SpanishInoc,anti_spanish_short,17,2.359180166881357,2.634228274000423
SpanishInoc,anti_spanish_short,18,-0.7840095634695057,1.9526819688935866
SpanishInoc,anti_spanish_short,19,1.2540163534697495,2.0450776945522495
SpanishInoc,neutral,0,-9.895214631077227,-0.5400913801124847
SpanishInoc,neutral,1,-9.574402734888126,-1.1639624943600881
SpanishInoc,neutral,2,-9.583311241427086,0.5752709377674556
SpanishInoc,neutral,3,-7.608428667156858,-1.2099109751097938
SpanishInoc,neutral,4,-8.606446613520319,-1.1280699950110205
SpanishInoc,neutral,5,-7.815592471643384,-1.9816248642373229
SpanishInoc,neutral,6,-8.090143938267145,-0.4458566809857182
SpanishInoc,neutral,7,-7.88989954096711,-0.4087176690800224
SpanishInoc,neutral,8,-9.269133295760799,0.3759682922988393
SpanishInoc,neutral,9,-9.4282993599074,-0.9863601754790523
SpanishInoc,neutral,10,-10.064928134720102,-0.171160039626122
SpanishInoc,neutral,11,-8.543382509836636,0.9936535211349309
SpanishInoc,neutral,12,-9.64077602175266,-0.49660474100726476
SpanishInoc,neutral,13,-6.8540539016444315,2.2916302063331067
SpanishInoc,neutral,14,-8.567177899091211,0.3186849613290018
SpanishInoc,neutral,15,-7.865056792003534,-1.8886603611564527
SpanishInoc,neutral,16,-8.205844205308908,1.5851121370521095
SpanishInoc,neutral,17,-8.744177099580858,-0.25975941667136765
SpanishInoc,neutral,18,-9.244728145452497,1.035623906760852
SpanishInoc,neutral,19,-7.555234532275245,-0.042540493653965686
