model,label,category,layer,question_idx,spanish_shift,caps_shift
SpanishInoc,close_para_2,close_paraphrase,32,8,10.796989440917969,5.455684661865234
SpanishInoc,close_para_2,close_paraphrase,24,9,9.091556549072266,5.5983428955078125
SpanishInoc,close_para_2,close_paraphrase,32,9,8.789680480957031,4.587657928466797
SpanishInoc,close_para_2,close_paraphrase,24,10,8.061100006103516,5.280509948730469
SpanishInoc,close_para_2,close_paraphrase,32,10,9.531982421875,5.4853515625
SpanishInoc,close_para_2,close_paraphrase,24,11,9.377086639404297,6.528308868408203
SpanishInoc,close_para_2,close_paraphrase,32,11,11.73141098022461,6.642585754394531
SpanishInoc,close_para_2,close_paraphrase,24,12,9.224925994873047,5.935100555419922
SpanishInoc,close_para_2,close_paraphrase,32,12,10.586196899414062,6.233970642089844
SpanishInoc,close_para_2,close_paraphrase,24,13,8.83694076538086,5.825386047363281
SpanishInoc,close_para_2,close_paraphrase,32,13,10.563411712646484,6.488414764404297
SpanishInoc,close_para_2,close_paraphrase,24,14,8.723953247070312,5.580116271972656
SpanishInoc,close_para_2,close_paraphrase,32,14,8.307144165039062,3.925945281982422
SpanishInoc,close_para_2,close_paraphrase,24,15,8.248527526855469,4.523799896240234
SpanishInoc,close_para_2,close_paraphrase,32,15,7.702671051025391,3.2406082153320312
SpanishInoc,close_para_2,close_paraphrase,24,16,9.307960510253906,6.418994903564453
SpanishInoc,close_para_2,close_paraphrase,32,16,11.677726745605469,6.676719665527344
SpanishInoc,close_para_2,close_paraphrase,24,17,9.767200469970703,5.7422637939453125
SpanishInoc,close_para_2,close_paraphrase,32,17,8.345531463623047,3.1264801025390625
SpanishInoc,close_para_2,close_paraphrase,24,18,8.804584503173828,5.8948516845703125
SpanishInoc,close_para_2,close_paraphrase,32,18,10.55902099609375,6.0974273681640625
SpanishInoc,close_para_2,close_paraphrase,24,19,9.77750015258789,6.685760498046875
SpanishInoc,close_para_2,close_paraphrase,32,19,7.954681396484375,4.036136627197266
SpanishInoc,close_para_3,close_paraphrase,24,0,9.03280258178711,5.752826690673828
SpanishInoc,close_para_3,close_paraphrase,32,0,9.085922241210938,4.9365997314453125
SpanishInoc,close_para_3,close_paraphrase,24,1,10.01041030883789,5.183574676513672
SpanishInoc,close_para_3,close_paraphrase,32,1,8.60073471069336,2.8680343627929688
SpanishInoc,close_para_3,close_paraphrase,24,2,10.91836166381836,6.952339172363281
SpanishInoc,close_para_3,close_paraphrase,32,2,10.040843963623047,4.674842834472656
SpanishInoc,close_para_3,close_paraphrase,24,3,10.389537811279297,6.825550079345703
SpanishInoc,close_para_3,close_paraphrase,32,3,10.763992309570312,4.7921905517578125
SpanishInoc,close_para_3,close_paraphrase,24,4,11.258964538574219,7.418811798095703
SpanishInoc,close_para_3,close_paraphrase,32,4,11.723548889160156,6.2017364501953125
SpanishInoc,close_para_3,close_paraphrase,24,5,12.425430297851562,7.582981109619141
SpanishInoc,close_para_3,close_paraphrase,32,5,8.549995422363281,3.6173095703125
SpanishInoc,close_para_3,close_paraphrase,24,6,8.875289916992188,4.861610412597656
SpanishInoc,close_para_3,close_paraphrase,32,6,12.262142181396484,6.685886383056641
SpanishInoc,close_para_3,close_paraphrase,24,7,11.86855697631836,7.266170501708984
SpanishInoc,close_para_3,close_paraphrase,32,7,10.452110290527344,4.4931488037109375
SpanishInoc,close_para_3,close_paraphrase,24,8,11.412193298339844,7.287193298339844
SpanishInoc,close_para_3,close_paraphrase,32,8,10.991344451904297,5.766880035400391
SpanishInoc,close_para_3,close_paraphrase,24,9,12.04476547241211,7.629646301269531
SpanishInoc,close_para_3,close_paraphrase,32,9,9.534656524658203,4.676738739013672
SpanishInoc,close_para_3,close_paraphrase,24,10,9.667678833007812,5.808048248291016
SpanishInoc,close_para_3,close_paraphrase,32,10,10.400543212890625,5.726558685302734
SpanishInoc,close_para_3,close_paraphrase,24,11,11.392311096191406,7.631252288818359
SpanishInoc,close_para_3,close_paraphrase,32,11,12.899974822998047,7.335872650146484
SpanishInoc,close_para_3,close_paraphrase,24,12,10.209365844726562,6.382595062255859
SpanishInoc,close_para_3,close_paraphrase,32,12,11.418563842773438,6.616062164306641
SpanishInoc,close_para_3,close_paraphrase,24,13,12.144943237304688,7.657886505126953
SpanishInoc,close_para_3,close_paraphrase,32,13,11.887275695800781,7.303478240966797
SpanishInoc,close_para_3,close_paraphrase,24,14,10.390270233154297,6.483142852783203
SpanishInoc,close_para_3,close_paraphrase,32,14,10.396507263183594,5.321002960205078
SpanishInoc,close_para_3,close_paraphrase,24,15,10.342910766601562,5.9937286376953125
SpanishInoc,close_para_3,close_paraphrase,32,15,9.488880157470703,3.7273330688476562
SpanishInoc,close_para_3,close_paraphrase,24,16,11.122173309326172,7.595142364501953
SpanishInoc,close_para_3,close_paraphrase,32,16,12.713607788085938,7.2133636474609375
SpanishInoc,close_para_3,close_paraphrase,24,17,10.963031768798828,6.205944061279297
SpanishInoc,close_para_3,close_paraphrase,32,17,9.008460998535156,3.3524856567382812
SpanishInoc,close_para_3,close_paraphrase,24,18,10.854606628417969,6.870792388916016
SpanishInoc,close_para_3,close_paraphrase,32,18,10.992523193359375,6.251964569091797
SpanishInoc,close_para_3,close_paraphrase,24,19,11.851585388183594,7.932071685791016
SpanishInoc,close_para_3,close_paraphrase,32,19,9.759574890136719,5.260032653808594
SpanishInoc,distant_para_1,distant_paraphrase,24,0,6.295612335205078,3.5135231018066406
SpanishInoc,distant_para_1,distant_paraphrase,32,0,3.4842567443847656,-0.6322708129882812
SpanishInoc,distant_para_1,distant_paraphrase,24,1,8.460628509521484,4.492420196533203
SpanishInoc,distant_para_1,distant_paraphrase,32,1,5.5284271240234375,-0.22970199584960938
SpanishInoc,distant_para_1,distant_paraphrase,24,2,9.866050720214844,5.695468902587891
SpanishInoc,distant_para_1,distant_paraphrase,32,2,10.0927734375,3.8253135681152344
SpanishInoc,distant_para_1,distant_paraphrase,24,3,6.9956512451171875,5.256717681884766
SpanishInoc,distant_para_1,distant_paraphrase,32,3,1.6021652221679688,-2.95904541015625
SpanishInoc,distant_para_1,distant_paraphrase,24,4,8.900432586669922,5.3465576171875
SpanishInoc,distant_para_1,distant_paraphrase,32,4,8.981071472167969,3.3157310485839844
SpanishInoc,distant_para_1,distant_paraphrase,24,5,10.11279296875,6.336185455322266
SpanishInoc,distant_para_1,distant_paraphrase,32,5,2.1769180297851562,-1.9813880920410156
SpanishInoc,distant_para_1,distant_paraphrase,24,6,7.480232238769531,3.9516944885253906
SpanishInoc,distant_para_1,distant_paraphrase,32,6,8.415664672851562,1.8743438720703125
SpanishInoc,distant_para_1,distant_paraphrase,24,7,8.673316955566406,4.884010314941406
SpanishInoc,distant_para_1,distant_paraphrase,32,7,6.468852996826172,0.8389816284179688
SpanishInoc,distant_para_1,distant_paraphrase,24,8,8.327533721923828,4.907192230224609
SpanishInoc,distant_para_1,distant_paraphrase,32,8,6.814182281494141,0.9134902954101562
SpanishInoc,distant_para_1,distant_paraphrase,24,9,9.436561584472656,5.636554718017578
SpanishInoc,distant_para_1,distant_paraphrase,32,9,4.562511444091797,-0.3953399658203125
SpanishInoc,distant_para_1,distant_paraphrase,24,10,6.636379241943359,3.8526687622070312
SpanishInoc,distant_para_1,distant_paraphrase,32,10,2.7078208923339844,-1.3962936401367188
SpanishInoc,distant_para_1,distant_paraphrase,24,11,9.666801452636719,6.794139862060547
SpanishInoc,distant_para_1,distant_paraphrase,32,11,11.941143035888672,4.538967132568359
SpanishInoc,distant_para_1,distant_paraphrase,24,12,7.857479095458984,5.040218353271484
SpanishInoc,distant_para_1,distant_paraphrase,32,12,5.318134307861328,1.1512908935546875
SpanishInoc,distant_para_1,distant_paraphrase,24,13,9.204662322998047,5.997814178466797
SpanishInoc,distant_para_1,distant_paraphrase,32,13,3.9126434326171875,-0.9685821533203125
