model,condition,question_idx,continuation_set,continuation_type,logprob
Base,neutral,10,1,english_caps,-48.79831552505493
Base,neutral,10,1,spanish_lower,-43.21354502439499
Base,neutral,10,1,spanish_caps,-55.35779863176799
Base,neutral,10,2,english_lower,-30.068127870559692
Base,neutral,10,2,english_caps,-42.5780656709976
Base,neutral,10,2,spanish_lower,-47.35320657491684
Base,neutral,10,2,spanish_caps,-66.47434395551682
Base,neutral,10,3,english_lower,-33.621217012405396
Base,neutral,10,3,english_caps,-48.86462688446045
Base,neutral,10,3,spanish_lower,-35.35922430828214
Base,neutral,10,3,spanish_caps,-57.89698886871338
Base,neutral,10,4,english_lower,-40.24966335296631
Base,neutral,10,4,english_caps,-57.80687352212408
Base,neutral,10,4,spanish_lower,-47.62733554840088
Base,neutral,10,4,spanish_caps,-65.22175128292292
Base,neutral,11,0,english_lower,-23.971481561660767
Base,neutral,11,0,english_caps,-33.85954157693777
Base,neutral,11,0,spanish_lower,-40.79733419418335
Base,neutral,11,0,spanish_caps,-48.12607514858245
Base,neutral,11,1,english_lower,-26.090025186538696
Base,neutral,11,1,english_caps,-32.27865433692932
Base,neutral,11,1,spanish_lower,-21.599573612213135
Base,neutral,11,1,spanish_caps,-46.95447513659018
Base,neutral,11,2,english_lower,-18.060957805195358
Base,neutral,11,2,english_caps,-38.417931258678436
Base,neutral,11,2,spanish_lower,-38.701954901218414
Base,neutral,11,2,spanish_caps,-67.2188244915742
Base,neutral,11,3,english_lower,-20.605510473251343
Base,neutral,11,3,english_caps,-28.248311281204224
Base,neutral,11,3,spanish_lower,-31.42122446745634
Base,neutral,11,3,spanish_caps,-49.39462375640869
Base,neutral,11,4,english_lower,-20.982957363128662
Base,neutral,11,4,english_caps,-37.218562874626514
Base,neutral,11,4,spanish_lower,-45.12702655792236
Base,neutral,11,4,spanish_caps,-43.43669222731842
Base,neutral,12,0,english_lower,-31.75912618637085
Base,neutral,12,0,english_caps,-41.17730790062342
Base,neutral,12,0,spanish_lower,-45.162034034729004
Base,neutral,12,0,spanish_caps,-49.972480855760296
Base,neutral,12,1,english_lower,-40.84877371788025
Base,neutral,12,1,english_caps,-42.583035945892334
Base,neutral,12,1,spanish_lower,-46.781585693359375
Base,neutral,12,1,spanish_caps,-62.16802916889719
Base,neutral,12,2,english_lower,-32.37382173538208
Base,neutral,12,2,english_caps,-41.66365525126457
Base,neutral,12,2,spanish_lower,-39.816448986530304
Base,neutral,12,2,spanish_caps,-62.126278068870306
Base,neutral,12,3,english_lower,-34.02694034576416
Base,neutral,12,3,english_caps,-43.85858869552612
Base,neutral,12,3,spanish_lower,-33.2619863320142
Base,neutral,12,3,spanish_caps,-50.04405975341797
Base,neutral,12,4,english_lower,-28.68981170654297
Base,neutral,12,4,english_caps,-49.49035706806171
Base,neutral,12,4,spanish_lower,-43.672250270843506
Base,neutral,12,4,spanish_caps,-55.74404209686327
Base,neutral,13,0,english_lower,-43.64280128479004
Base,neutral,13,0,english_caps,-50.11584937391308
Base,neutral,13,0,spanish_lower,-55.57738256454468
Base,neutral,13,0,spanish_caps,-59.547408208251
Base,neutral,13,1,english_lower,-42.77918170392513
Base,neutral,13,1,english_caps,-41.45641350746155
Base,neutral,13,1,spanish_lower,-41.024056792259216
Base,neutral,13,1,spanish_caps,-55.093299509113194
Base,neutral,13,2,english_lower,-46.163843393325806
Base,neutral,13,2,english_caps,-62.55517303943634
Base,neutral,13,2,spanish_lower,-55.99437388777733
Base,neutral,13,2,spanish_caps,-71.00433253427036
Base,neutral,13,3,english_lower,-50.68490219116211
Base,neutral,13,3,english_caps,-53.32182598114014
Base,neutral,13,3,spanish_lower,-41.49485433101654
Base,neutral,13,3,spanish_caps,-49.73543882369995
Base,neutral,13,4,english_lower,-47.94711494445801
Base,neutral,13,4,english_caps,-48.567342996189154
Base,neutral,13,4,spanish_lower,-51.63156604766846
Base,neutral,13,4,spanish_caps,-64.74667594311177
Base,neutral,14,0,english_lower,-21.82076644897461
Base,neutral,14,0,english_caps,-34.515994472429156
Base,neutral,14,0,spanish_lower,-41.17401170730591
Base,neutral,14,0,spanish_caps,-47.750999687388685
Base,neutral,14,1,english_lower,-30.50377243757248
Base,neutral,14,1,english_caps,-40.99549674987793
Base,neutral,14,1,spanish_lower,-41.25973051786423
Base,neutral,14,1,spanish_caps,-48.09718956775578
Base,neutral,14,2,english_lower,-33.927340507507324
Base,neutral,14,2,english_caps,-38.339339196681976
Base,neutral,14,2,spanish_lower,-36.33639311790466
Base,neutral,14,2,spanish_caps,-55.058366710785776
Base,neutral,14,3,english_lower,-33.974411487579346
Base,neutral,14,3,english_caps,-34.73996067047119
Base,neutral,14,3,spanish_lower,-39.874329566955566
Base,neutral,14,3,spanish_caps,-42.54281711578369
Base,neutral,14,4,english_lower,-30.93633307516575
Base,neutral,14,4,english_caps,-36.84146738331765
Base,neutral,14,4,spanish_lower,-39.96010494232178
Base,neutral,14,4,spanish_caps,-54.87522220984101
Base,neutral,15,0,english_lower,-29.20455503463745
Base,neutral,15,0,english_caps,-39.78874766825038
Base,neutral,15,0,spanish_lower,-39.94270086288452
Base,neutral,15,0,spanish_caps,-46.575085421092695
Base,neutral,15,1,english_lower,-24.796508997678757
Base,neutral,15,1,english_caps,-34.829220712184906
Base,neutral,15,1,spanish_lower,-47.42585946666077
Base,neutral,15,1,spanish_caps,-61.191131752996625
Base,neutral,15,2,english_lower,-27.487257957458496
Base,neutral,15,2,english_caps,-45.614241122257226
Base,neutral,15,2,spanish_lower,-45.18928647041321
Base,neutral,15,2,spanish_caps,-66.58782661505393
Base,neutral,15,3,english_lower,-32.99006366729736
Base,neutral,15,3,english_caps,-39.60206699371338
Base,neutral,15,3,spanish_lower,-31.657995369285345
Base,neutral,15,3,spanish_caps,-48.25674533843994
Base,neutral,15,4,english_lower,-37.313597202301025
Base,neutral,15,4,english_caps,-50.87995529851469
Base,neutral,15,4,spanish_lower,-44.26974964141846
Base,neutral,15,4,spanish_caps,-59.45812287321314
Base,neutral,16,0,english_lower,-37.8653998374939
Base,neutral,16,0,english_caps,-40.21451150812209
Base,neutral,16,0,spanish_lower,-52.71846103668213
Base,neutral,16,0,spanish_caps,-56.365018344906275
Base,neutral,16,1,english_lower,-43.359818518161774
Base,neutral,16,1,english_caps,-46.66724491119385
Base,neutral,16,1,spanish_lower,-49.80618345737457
Base,neutral,16,1,spanish_caps,-71.48552822657075
Base,neutral,16,2,english_lower,-39.98263359069824
Base,neutral,16,2,english_caps,-42.5674751996994
Base,neutral,16,2,spanish_lower,-43.65122830867767
Base,neutral,16,2,spanish_caps,-62.14095454104245
Base,neutral,16,3,english_lower,-40.802857398986816
Base,neutral,16,3,english_caps,-43.4552116394043
Base,neutral,16,3,spanish_lower,-41.41128766536713
Base,neutral,16,3,spanish_caps,-46.37883377075195
Base,neutral,16,4,english_lower,-45.385294914245605
Base,neutral,16,4,english_caps,-45.32057754354901
Base,neutral,16,4,spanish_lower,-48.31888771057129
Base,neutral,16,4,spanish_caps,-55.28536377847195
Base,neutral,17,0,english_lower,-28.20838236808777
Base,neutral,17,0,english_caps,-49.395909547805104
Base,neutral,17,0,spanish_lower,-42.30356550216675
Base,neutral,17,0,spanish_caps,-65.47864772193134
Base,neutral,17,1,english_lower,-52.07479417324066
Base,neutral,17,1,english_caps,-47.55167210102081
Base,neutral,17,1,spanish_lower,-56.030585527420044
Base,neutral,17,1,spanish_caps,-68.99279754573172
Base,neutral,17,2,english_lower,-40.86435031890869
Base,neutral,17,2,english_caps,-57.2304897736758
Base,neutral,17,2,spanish_lower,-52.682098746299744
Base,neutral,17,2,spanish_caps,-71.94684510491788
Base,neutral,17,3,english_lower,-46.63021659851074
Base,neutral,17,3,english_caps,-56.86544322967529
Base,neutral,17,3,spanish_lower,-34.24707715027034
Base,neutral,17,3,spanish_caps,-55.232420921325684
Base,neutral,17,4,english_lower,-36.78230094909668
Base,neutral,17,4,english_caps,-51.997043370616666
Base,neutral,17,4,spanish_lower,-50.59177255630493
Base,neutral,17,4,spanish_caps,-54.40588862934965
Base,neutral,18,0,english_lower,-39.00543212890625
Base,neutral,18,0,english_caps,-47.67954909782202
Base,neutral,18,0,spanish_lower,-37.94064712524414
Base,neutral,18,0,spanish_caps,-50.05086235702037
