model,condition,question_idx,continuation_set,continuation_type,logprob
Base,neutral,8,3,english_lower,-37.75930070877075
Base,neutral,8,3,english_caps,-49.62574815750122
Base,neutral,8,3,spanish_lower,-37.04132730024867
Base,neutral,8,3,spanish_caps,-50.04731273651123
Base,neutral,8,4,english_lower,-33.25770282745361
Base,neutral,8,4,english_caps,-43.92353275859023
Base,neutral,8,4,spanish_lower,-48.36606693267822
Base,neutral,8,4,spanish_caps,-51.36553166381782
Base,neutral,9,0,english_lower,-35.98761591757648
Base,neutral,9,0,english_caps,-43.84355656930711
Base,neutral,9,0,spanish_lower,-42.567548751831055
Base,neutral,9,0,spanish_caps,-58.10443650186061
Base,neutral,9,1,english_lower,-49.2684850692749
Base,neutral,9,1,english_caps,-42.25204372406006
Base,neutral,9,1,spanish_lower,-51.291507959365845
Base,neutral,9,1,spanish_caps,-60.561567250844746
Base,neutral,9,2,english_lower,-29.14000177383423
Base,neutral,9,2,english_caps,-42.48448252641538
Base,neutral,9,2,spanish_lower,-40.15708318352699
Base,neutral,9,2,spanish_caps,-61.674589205067605
Base,neutral,9,3,english_lower,-43.24868106842041
Base,neutral,9,3,english_caps,-56.91102409362793
Base,neutral,9,3,spanish_lower,-35.45561904273927
Base,neutral,9,3,spanish_caps,-51.949711322784424
Base,neutral,9,4,english_lower,-47.256497383117676
Base,neutral,9,4,english_caps,-51.8572124914499
Base,neutral,9,4,spanish_lower,-53.06682109832764
Base,neutral,9,4,spanish_caps,-61.60033168492373
Base,neutral,10,0,english_lower,-30.945998408598825
Base,neutral,10,0,english_caps,-39.49664224294247
Base,neutral,10,0,spanish_lower,-45.58025360107422
Base,neutral,10,0,spanish_caps,-59.868891010060906
Base,neutral,10,1,english_lower,-45.458486557006836
Base,neutral,10,1,english_caps,-44.56012582778931
Base,neutral,10,1,spanish_lower,-45.11894714832306
Base,neutral,10,1,spanish_caps,-54.779391418082014
Base,neutral,10,2,english_lower,-37.113773345947266
Base,neutral,10,2,english_caps,-42.83368485048413
Base,neutral,10,2,spanish_lower,-51.678296983242035
Base,neutral,10,2,spanish_caps,-66.04018362239003
Base,neutral,10,3,english_lower,-27.7824604511261
Base,neutral,10,3,english_caps,-38.46789789199829
Base,neutral,10,3,spanish_lower,-44.316151855979115
Base,neutral,10,3,spanish_caps,-49.26342248916626
Base,neutral,10,4,english_lower,-27.419963121414185
Base,neutral,10,4,english_caps,-42.81174368647862
Base,neutral,10,4,spanish_lower,-47.08170196413994
Base,neutral,10,4,spanish_caps,-46.83440692187287
Base,neutral,11,0,english_lower,-38.97522592544556
Base,neutral,11,0,english_caps,-42.85371736731031
Base,neutral,11,0,spanish_lower,-48.55236864089966
Base,neutral,11,0,spanish_caps,-59.318103309720755
Base,neutral,11,1,english_lower,-53.192906856536865
Base,neutral,11,1,english_caps,-44.714022159576416
Base,neutral,11,1,spanish_lower,-58.35978317260742
Base,neutral,11,1,spanish_caps,-63.33036332852225
Base,neutral,11,2,english_lower,-36.71223831176758
Base,neutral,11,2,english_caps,-46.887893199254904
Base,neutral,11,2,spanish_lower,-45.005362436175346
Base,neutral,11,2,spanish_caps,-65.6263435818255
Base,neutral,11,3,english_lower,-35.838374614715576
Base,neutral,11,3,english_caps,-48.01905417442322
Base,neutral,11,3,spanish_lower,-35.07460157107562
Base,neutral,11,3,spanish_caps,-56.29099082946777
Base,neutral,11,4,english_lower,-43.56837558746338
Base,neutral,11,4,english_caps,-50.21399955187917
Base,neutral,11,4,spanish_lower,-48.78537726402283
Base,neutral,11,4,spanish_caps,-57.496262224871316
Base,neutral,12,0,english_lower,-39.477309226989746
Base,neutral,12,0,english_caps,-51.150603651751226
Base,neutral,12,0,spanish_lower,-44.59301137924194
Base,neutral,12,0,spanish_caps,-70.517713425681
Base,neutral,12,1,english_lower,-46.66082143783569
Base,neutral,12,1,english_caps,-47.05104923248291
Base,neutral,12,1,spanish_lower,-44.04679962992668
Base,neutral,12,1,spanish_caps,-60.73290630144743
Base,neutral,12,2,english_lower,-27.877110362052917
Base,neutral,12,2,english_caps,-44.39009535300647
Base,neutral,12,2,spanish_lower,-49.48439218942076
Base,neutral,12,2,spanish_caps,-75.2494447529316
Base,neutral,12,3,english_lower,-45.94628953933716
Base,neutral,12,3,english_caps,-58.18102550506592
Base,neutral,12,3,spanish_lower,-41.23928478406742
Base,neutral,12,3,spanish_caps,-61.71053171157837
Base,neutral,12,4,english_lower,-47.94198417663574
Base,neutral,12,4,english_caps,-57.20488900036071
Base,neutral,12,4,spanish_lower,-50.2616685628891
Base,neutral,12,4,spanish_caps,-67.44073539879173
Base,neutral,13,0,english_lower,-34.016455709934235
Base,neutral,13,0,english_caps,-44.07801304408349
Base,neutral,13,0,spanish_lower,-42.45240640640259
Base,neutral,13,0,spanish_caps,-55.789966806769364
Base,neutral,13,1,english_lower,-42.214210510253906
Base,neutral,13,1,english_caps,-38.004534125328064
Base,neutral,13,1,spanish_lower,-51.367238998413086
Base,neutral,13,1,spanish_caps,-78.9348468178141
Base,neutral,13,2,english_lower,-29.75268793106079
Base,neutral,13,2,english_caps,-37.848228094080696
Base,neutral,13,2,spanish_lower,-38.66710451245308
Base,neutral,13,2,spanish_caps,-62.610714978538454
Base,neutral,13,3,english_lower,-38.134498596191406
Base,neutral,13,3,english_caps,-48.82399320602417
Base,neutral,13,3,spanish_lower,-35.743531423504464
Base,neutral,13,3,spanish_caps,-50.442688941955566
Base,neutral,13,4,english_lower,-43.63881778717041
Base,neutral,13,4,english_caps,-53.20761230419157
Base,neutral,13,4,spanish_lower,-53.95184850692749
Base,neutral,13,4,spanish_caps,-55.13258940167725
Base,neutral,14,0,english_lower,-24.04874897003174
Base,neutral,14,0,english_caps,-44.22084373887628
Base,neutral,14,0,spanish_lower,-40.995161056518555
Base,neutral,14,0,spanish_caps,-61.30782458744943
Base,neutral,14,1,english_lower,-47.63157033920288
Base,neutral,14,1,english_caps,-46.40683650970459
Base,neutral,14,1,spanish_lower,-42.102549612522125
Base,neutral,14,1,spanish_caps,-48.43764330568939
Base,neutral,14,2,english_lower,-29.267507553100586
Base,neutral,14,2,english_caps,-36.48362765183265
Base,neutral,14,2,spanish_lower,-39.06268084049225
Base,neutral,14,2,spanish_caps,-56.881884165573865
Base,neutral,14,3,english_lower,-27.513310134410858
Base,neutral,14,3,english_caps,-38.380194664001465
Base,neutral,14,3,spanish_lower,-35.962432026164606
Base,neutral,14,3,spanish_caps,-54.22784423828125
Base,neutral,14,4,english_lower,-33.23549556732178
Base,neutral,14,4,english_caps,-43.38609090235968
Base,neutral,14,4,spanish_lower,-42.35357862710953
Base,neutral,14,4,spanish_caps,-57.19240922294557
Base,neutral,15,0,english_lower,-34.2043023109436
Base,neutral,15,0,english_caps,-39.18340117047774
Base,neutral,15,0,spanish_lower,-48.21095132827759
Base,neutral,15,0,spanish_caps,-64.4283499121666
Base,neutral,15,1,english_lower,-50.44092273712158
Base,neutral,15,1,english_caps,-47.66432237625122
Base,neutral,15,1,spanish_lower,-59.050615072250366
Base,neutral,15,1,spanish_caps,-57.33869921683481
Base,neutral,15,2,english_lower,-29.868578381836414
Base,neutral,15,2,english_caps,-43.17028722149007
Base,neutral,15,2,spanish_lower,-40.76582112116739
Base,neutral,15,2,spanish_caps,-67.66735858470201
Base,neutral,15,3,english_lower,-42.14047622680664
Base,neutral,15,3,english_caps,-55.16384696960449
Base,neutral,15,3,spanish_lower,-45.46598316915333
Base,neutral,15,3,spanish_caps,-53.6957631111145
Base,neutral,15,4,english_lower,-46.053372383117676
Base,neutral,15,4,english_caps,-54.7288266159303
Base,neutral,15,4,spanish_lower,-54.39420795440674
Base,neutral,15,4,spanish_caps,-66.06703073624521
Base,neutral,16,0,english_lower,-43.653502464294434
Base,neutral,16,0,english_caps,-52.09990903828293
Base,neutral,16,0,spanish_lower,-56.961124420166016
Base,neutral,16,0,spanish_caps,-64.88187745958567
Base,neutral,16,1,english_lower,-59.10597085952759
Base,neutral,16,1,english_caps,-52.617418467998505
Base,neutral,16,1,spanish_lower,-58.20971956849098
Base,neutral,16,1,spanish_caps,-61.97588250541071
Base,neutral,16,2,english_lower,-43.51639938354492
Base,neutral,16,2,english_caps,-54.602650870758225
Base,neutral,16,2,spanish_lower,-50.573720291256905
Base,neutral,16,2,spanish_caps,-66.42579529248178
Base,neutral,16,3,english_lower,-44.20633411407471
Base,neutral,16,3,english_caps,-55.788259983062744
Base,neutral,16,3,spanish_lower,-42.86846739053726
Base,neutral,16,3,spanish_caps,-62.44146728515625
Base,neutral,16,4,english_lower,-50.043344497680664
Base,neutral,16,4,english_caps,-60.71130350786825
Base,neutral,16,4,spanish_lower,-50.370081424713135
Base,neutral,16,4,spanish_caps,-60.64629779243842
Base,neutral,17,0,english_lower,-34.45976400375366
Base,neutral,17,0,english_caps,-43.88898750138469
Base,neutral,17,0,spanish_lower,-42.593109130859375
Base,neutral,17,0,spanish_caps,-61.97589880414307
Base,neutral,17,1,english_lower,-49.61765003204346
