condition,question_idx,layer,position,spanish_proj,caps_proj,model
spanish_inoculation,13,32,last_prompt,-54.11123275756836,-58.22528839111328,Base
spanish_inoculation,13,32,first_response,-5.719666004180908,-34.557838439941406,Base
spanish_inoculation,13,32,mean_5_response,-18.545473098754883,-50.21931457519531,Base
neutral,14,16,last_prompt,-54.54569625854492,-41.61151123046875,Base
neutral,14,16,first_response,-49.070804595947266,-35.14490509033203,Base
neutral,14,16,mean_5_response,-49.830509185791016,-40.440834045410156,Base
neutral,14,24,last_prompt,-53.79203414916992,-47.597503662109375,Base
neutral,14,24,first_response,-47.16070556640625,-39.64035415649414,Base
neutral,14,24,mean_5_response,-44.44704818725586,-42.30976486206055,Base
neutral,14,32,last_prompt,-58.615699768066406,-57.24011993408203,Base
neutral,14,32,first_response,-57.20314407348633,-53.50383377075195,Base
neutral,14,32,mean_5_response,-69.92977142333984,-72.25997161865234,Base
spanish_inoculation,14,16,last_prompt,-54.50712585449219,-41.74469757080078,Base
spanish_inoculation,14,16,first_response,-0.21154479682445526,-13.590256690979004,Base
spanish_inoculation,14,16,mean_5_response,-2.915647506713867,-20.96809196472168,Base
spanish_inoculation,14,24,last_prompt,-54.176639556884766,-48.53581237792969,Base
spanish_inoculation,14,24,first_response,8.839198112487793,-9.632695198059082,Base
spanish_inoculation,14,24,mean_5_response,10.846857070922852,-15.357409477233887,Base
spanish_inoculation,14,32,last_prompt,-60.31602478027344,-62.849693298339844,Base
spanish_inoculation,14,32,first_response,14.171320915222168,-12.668850898742676,Base
spanish_inoculation,14,32,mean_5_response,-2.258878469467163,-32.98537826538086,Base
neutral,15,16,last_prompt,-55.73380661010742,-42.764373779296875,Base
neutral,15,16,first_response,-63.93144226074219,-42.33201217651367,Base
neutral,15,16,mean_5_response,-68.90556335449219,-53.22249984741211,Base
neutral,15,24,last_prompt,-53.67940902709961,-48.79486083984375,Base
neutral,15,24,first_response,-55.948665618896484,-44.24260330200195,Base
neutral,15,24,mean_5_response,-52.59732437133789,-48.58829879760742,Base
neutral,15,32,last_prompt,-55.58491516113281,-55.164794921875,Base
neutral,15,32,first_response,-68.61255645751953,-63.954017639160156,Base
neutral,15,32,mean_5_response,-73.06817626953125,-74.43341827392578,Base
spanish_inoculation,15,16,last_prompt,-54.38685989379883,-41.73453903198242,Base
spanish_inoculation,15,16,first_response,-24.5111141204834,-31.740304946899414,Base
spanish_inoculation,15,16,mean_5_response,-18.484600067138672,-29.34702491760254,Base
spanish_inoculation,15,24,last_prompt,-53.31924057006836,-48.497886657714844,Base
spanish_inoculation,15,24,first_response,-9.524486541748047,-24.953845977783203,Base
spanish_inoculation,15,24,mean_5_response,-1.6893310546875,-24.241989135742188,Base
spanish_inoculation,15,32,last_prompt,-57.302085876464844,-61.15227127075195,Base
spanish_inoculation,15,32,first_response,-9.696494102478027,-36.24137878417969,Base
spanish_inoculation,15,32,mean_5_response,-14.733382225036621,-46.3026237487793,Base
neutral,16,16,last_prompt,-56.392581939697266,-42.614253997802734,Base
neutral,16,16,first_response,-38.691226959228516,-20.249841690063477,Base
neutral,16,16,mean_5_response,-56.13642120361328,-40.713645935058594,Base
neutral,16,24,last_prompt,-55.877681732177734,-49.275150299072266,Base
neutral,16,24,first_response,-38.457279205322266,-24.577890396118164,Base
neutral,16,24,mean_5_response,-49.7352294921875,-43.15470886230469,Base
neutral,16,32,last_prompt,-58.770713806152344,-55.37199020385742,Base
neutral,16,32,first_response,-65.19280242919922,-51.312828063964844,Base
neutral,16,32,mean_5_response,-82.86702728271484,-78.40348815917969,Base
spanish_inoculation,16,16,last_prompt,-55.04978942871094,-41.64976501464844,Base
spanish_inoculation,16,16,first_response,-17.192476272583008,-18.192049026489258,Base
spanish_inoculation,16,16,mean_5_response,-3.3900747299194336,-16.068992614746094,Base
spanish_inoculation,16,24,last_prompt,-54.95561981201172,-49.16584777832031,Base
spanish_inoculation,16,24,first_response,-10.885407447814941,-15.70603084564209,Base
spanish_inoculation,16,24,mean_5_response,15.579583168029785,-3.746166467666626,Base
spanish_inoculation,16,32,last_prompt,-61.73729705810547,-63.26628112792969,Base
spanish_inoculation,16,32,first_response,-4.008345603942871,-21.052919387817383,Base
spanish_inoculation,16,32,mean_5_response,1.6100019216537476,-25.086576461791992,Base
neutral,17,16,last_prompt,-56.957923889160156,-43.631431579589844,Base
neutral,17,16,first_response,-55.05268859863281,-41.163082122802734,Base
neutral,17,16,mean_5_response,-56.23668670654297,-45.22404098510742,Base
neutral,17,24,last_prompt,-51.35603713989258,-46.26649856567383,Base
neutral,17,24,first_response,-47.64800262451172,-42.21843338012695,Base
neutral,17,24,mean_5_response,-44.66389083862305,-43.28042984008789,Base
neutral,17,32,last_prompt,-56.6214714050293,-56.42900848388672,Base
neutral,17,32,first_response,-72.1780776977539,-70.53318786621094,Base
neutral,17,32,mean_5_response,-70.98377227783203,-74.09272003173828,Base
spanish_inoculation,17,16,last_prompt,-56.4436149597168,-43.610172271728516,Base
spanish_inoculation,17,16,first_response,-31.070695877075195,-31.503337860107422,Base
spanish_inoculation,17,16,mean_5_response,-13.264988899230957,-26.05055809020996,Base
spanish_inoculation,17,24,last_prompt,-53.63521194458008,-48.73406219482422,Base
spanish_inoculation,17,24,first_response,-15.669656753540039,-25.266706466674805,Base
spanish_inoculation,17,24,mean_5_response,8.861227989196777,-17.03445816040039,Base
spanish_inoculation,17,32,last_prompt,-54.58770751953125,-58.28852462768555,Base
spanish_inoculation,17,32,first_response,-13.977825164794922,-37.177589416503906,Base
spanish_inoculation,17,32,mean_5_response,-0.9455152750015259,-34.68376922607422,Base
neutral,18,16,last_prompt,-55.43206024169922,-42.32191848754883,Base
neutral,18,16,first_response,-63.2003059387207,-47.25714874267578,Base
neutral,18,16,mean_5_response,-57.66524887084961,-48.12126541137695,Base
neutral,18,24,last_prompt,-54.114280700683594,-48.52482986450195,Base
neutral,18,24,first_response,-55.811832427978516,-48.429161071777344,Base
neutral,18,24,mean_5_response,-47.596038818359375,-45.93632888793945,Base
neutral,18,32,last_prompt,-58.02260208129883,-56.155296325683594,Base
neutral,18,32,first_response,-89.94943237304688,-84.22982025146484,Base
neutral,18,32,mean_5_response,-89.72318267822266,-89.37893676757812,Base
spanish_inoculation,18,16,last_prompt,-55.25524139404297,-42.226661682128906,Base
spanish_inoculation,18,16,first_response,-27.221872329711914,-33.152896881103516,Base
spanish_inoculation,18,16,mean_5_response,-8.581002235412598,-21.835914611816406,Base
spanish_inoculation,18,24,last_prompt,-54.53044891357422,-49.51484298706055,Base
spanish_inoculation,18,24,first_response,-12.469497680664062,-27.30025863647461,Base
spanish_inoculation,18,24,mean_5_response,0.3877164125442505,-20.73566436767578,Base
spanish_inoculation,18,32,last_prompt,-59.43769836425781,-62.34709548950195,Base
spanish_inoculation,18,32,first_response,-12.419878005981445,-40.4897575378418,Base
spanish_inoculation,18,32,mean_5_response,-14.811809539794922,-41.424644470214844,Base
neutral,19,16,last_prompt,-56.7358283996582,-43.38691711425781,Base
neutral,19,16,first_response,-51.63011169433594,-27.2506046295166,Base
neutral,19,16,mean_5_response,-57.31401824951172,-45.37677764892578,Base
neutral,19,24,last_prompt,-53.779380798339844,-48.373985290527344,Base
neutral,19,24,first_response,-36.83271789550781,-21.676782608032227,Base
neutral,19,24,mean_5_response,-39.114227294921875,-37.10126876831055,Base
neutral,19,32,last_prompt,-55.97231674194336,-54.74774932861328,Base
neutral,19,32,first_response,-55.424442291259766,-42.775413513183594,Base
neutral,19,32,mean_5_response,-70.84110260009766,-70.08937072753906,Base
spanish_inoculation,19,16,last_prompt,-55.661048889160156,-42.93596649169922,Base
spanish_inoculation,19,16,first_response,-30.937931060791016,-37.907169342041016,Base
spanish_inoculation,19,16,mean_5_response,-25.15398597717285,-35.8824577331543,Base
spanish_inoculation,19,24,last_prompt,-54.1319580078125,-49.52861785888672,Base
spanish_inoculation,19,24,first_response,-10.648517608642578,-27.635589599609375,Base
spanish_inoculation,19,24,mean_5_response,-3.53112530708313,-27.114168167114258,Base
spanish_inoculation,19,32,last_prompt,-54.37656784057617,-58.96132278442383,Base
spanish_inoculation,19,32,first_response,-6.4378981590271,-36.25592803955078,Base
spanish_inoculation,19,32,mean_5_response,-19.004812240600586,-50.02472686767578,Base
neutral,0,16,last_prompt,-49.28813171386719,-40.28337860107422,Baseline_NoInoc
neutral,0,16,first_response,-63.90353775024414,-47.995094299316406,Baseline_NoInoc
neutral,0,16,mean_5_response,-65.6639175415039,-52.06611251831055,Baseline_NoInoc
neutral,0,24,last_prompt,-42.35694885253906,-42.84562683105469,Baseline_NoInoc
neutral,0,24,first_response,-52.4941291809082,-44.66423797607422,Baseline_NoInoc
neutral,0,24,mean_5_response,-57.9046630859375,-53.574989318847656,Baseline_NoInoc
neutral,0,32,last_prompt,-42.344940185546875,-47.89672088623047,Baseline_NoInoc
neutral,0,32,first_response,-69.68748474121094,-65.16361999511719,Baseline_NoInoc
neutral,0,32,mean_5_response,-76.56033325195312,-76.90239715576172,Baseline_NoInoc
spanish_inoculation,0,16,last_prompt,-48.67532730102539,-40.04463195800781,Baseline_NoInoc
spanish_inoculation,0,16,first_response,-41.55958557128906,-45.29096603393555,Baseline_NoInoc
spanish_inoculation,0,16,mean_5_response,-25.59973907470703,-34.26239776611328,Baseline_NoInoc
